Processed Text,summarizer
قالت وزيره الصحه سميره مرعي فريعه وزارتها تحرص توفير اجهزه التقصي والتشخيص لمرض سرطان الثدي ولايات الجمهوريه واشارت اشرافها تظاهره تحسيسيه توعويه انتظمت اليوم السبت بسوسه حول التقصي المبكر لسرطان الثدي وكيفيه مقاومته انه يسجل سنويا اصابه بسرطان الثدي النساء التونسيات بالمائه يقع اكتشافها مرحله متقدمه عندما يتجاوز الورم قطر سنتيمترات واكدت الوزيره تصريحات اعلاميه هامش التظاهره انتظمت بمناسبه شهر الوردي لمكافحه سرطان الثدي وببادره جمعيه روتاري القنطاوي والديوان الوطني للاسره والعمران البشري بمشاركه مجموعه الاطباء القطاعين الخاص والعمومي اهميه التشخيص المبكر للمرض يتيح القضاء مراحله الاولى عندما يكون التكفل بالمريضه والعلاج ايسر ودعت الخصوص توخي الطرق الوقائيه المتوفره وهي الفحص الذاتي المنتظم للتاكد عدم وجود اورام كتل طبيعيه ومراجعه الطبيب بمجرد حدوث تغيير طبيعي بالثدي مذكره بان البرنامج الوطني لمكافحه السرطان انطلق سنوات يهدف التقليص نسبه الاصابه وذلك بالتركيز عمليه التشخيص المبكر لسرطان الثدي وتقصي سرطان عنق الرحم بمراكز الصحه الاساسيه,"
قالت وزيرة الصحة، سميرة مرعي فريعة، إن وزارتها تحرص على توفير أجهزة التقصي والتشخيص لمرض سرطان الثدي في كل ولايات الجمهورية."
وضعت عمليه القرعه جرت السبت مالي المنتخب الوطني للكبريات لكره السله ضمن المجموعه الاولى لنهائيات كاس افريقيا لكره السله سيدات والتي ستقام باماكو الى اوت وتضم المجموعه الاولى تونس ومالي والكامرون وكوت ديفوار وانغولا ومنتخب ستوجه دعوه للمشاركه اما المجموعه الثانيه السنغال ومصر وغينيا وموزمبيق ونيجيريا والمنتخب سيتاهل منطقه التصفيات الرابعه وتعد البطوله القاريه ترشيحيه لنهائيات بطوله العالم لكره السله سيدات ستحتضنها اسبانيا سنه,وتعد هذه البطولة القارية ترشيحية لنهائيات بطولة العالم لكرة السلة سيدات التي ستحتضنها اسبانيا سنة 2018 . وتضم المجموعة الأولى: تونس ومالي والكامرون وكوت ديفوار وانغولا ومنتخب سادس ستوجه له دعوة خاصة للمشاركة. اما المجموعة الثانية : السنغال ومصر وغينيا وموزمبيق ونيجيريا والمنتخب الذي سيتاهل عن منطقة التصفيات الرابعة.
قال النائب حزب صوت الفلاحين فيصل التبيني تونس اصبحت دوله الفساد والعماله واللوبيات وفق تعبيره واضاف مداخله اليوم برنامج الحدث تونس ضحيه الفساد بدا بسرقه اصوات الفقراء وينتهي بسرقه احلامهم واوضح الشعب يتحمل مسؤوليه يحدث مشيرا ينتخب انتهازيين وفاسدين ولوبيات ضحيه وطالب التبيني بالتثبت الاسماء المقترحه حكومه الوحده الوطنيه والتي قيل بانها جاءت لتنفيذ اجندات خارجيه قوله,"وأضاف في مداخلة له اليوم في برنامج الحدث "" تونس ضحية الفساد الذي بدأ بسرقة أصوات الفقراء وينتهي بسرقة أحلامهم"". 
قال النائب عن حزب صوت الفلاحين، فيصل التبيني، إن تونس أصبحت ""دولة الفساد والعمالة واللوبيات""، وفق تعبيره. وأوضح أن الشعب يتحمل مسؤولية ما يحدث، مشيرا "" من ينتخب انتهازيين وفاسدين ولوبيات ليس ضحية ""."
شن تنظيم داعش الارهابي اليوم الاحد هجمات انتحاريه بسيارات مفخخه استهدفت تجمعات لقوات حكومه الوفاق الوطني الليبيه جنوب شرق سرت وغربها ادى وقوع اصابات صفوف القوات وفقا للعضو المركز الاعلامي الخاص بعمليه استعاده سرت رضا عيسى وقال عيسى وقعت تفجيرات بسيارات مفخخه يقودها انتحاريون تنظيم داعش الارهابي استهدفت قواتنا سرت اصابات صفوف القوات وكانت قوات حكومه الوفاق قامت بتسيير دوريات امنيه السبت سرت سيطرتها ميناء المدينه وعدد المناطق الرئيسيه بدات بملاحقه عناصر داعش الارهابي وتمشيط المناطق انتزعتها التنظيم وطالت عمليات التمشيط احياء عده ظهر عليها دمار واسع بسبب القتال الدائر وقت انتشرت جثث تابعه لمقاتلي التنظيم شوارع سرت يذكر قوات حكومه الوفاق الليبيه كانت اعلنت السبت انها سيطرت بالكامل ميناء سرت واحياء سكنيه تقع شرق المدينه اشتباكات تنظيم داعش الارهابي قتل عناصرها,"وقال عيسى: ""وقعت 3 تفجيرات بسيارات مفخخة يقودها انتحاريون من تنظيم داعش الارهابي استهدفت قواتنا في سرت"" مضيفاً أن ""هناك إصابات في صفوف القوات"". وكانت قوات حكومة الوفاق قامت بتسيير دوريات أمنية السبت في سرت، بعد سيطرتها على ميناء في المدينة وعدد من المناطق الرئيسية. وطالت عمليات التمشيط أحياء عدة ظهر عليها دمار واسع بسبب القتال الدائر، في وقت انتشرت جثث تابعة لمقاتلي التنظيم في شوارع سرت."
القت الوحدات الامنيه بقفصه الاحد القبض اشخاص وحجزت لديهم مسدسا كانوا قاموا بافتكاكه عون امن يعمل فوج وحدات التدخل بالمتلوي وقد قاموا بتعنيف العون باستعمال قضبان حديديه خلال طريق العوده منزله احياء مدينه قفصه مراسل الجوهره اف ام بالجهه,"وقد قاموا بتعنيف العون باستعمال قضبان حديدية و ذلك خلال طريق العودة إلى منزله في  أحد أحياء مدينة قفصة حسب مراسل الجوهرة""اف ام"" بالجهة. 
ألقت الوحدات الأمنية بقفصة مساء الأحد القبض على 3 أشخاص وحجزت لديهم مسدسا كانوا قد قاموا بإفتكاكه من عون أمن يعمل في فوج وحدات التدخل بالمتلوي."
اعلنت وزاره الداخليه بلاغ ارتفاع حصيله حادث المرور جد ظهر اليوم بمنطقه سيدي الظاهر بمعتمديه بئر علي بن خليفه ولايه صفاقس جريحا وتتمثل صوره الحادث اصطدام حافله تابعه للشركه الوطنيه للنقل المدن كانت متجهه تونس قادمه جربه بسياره خفيفه وكان الحادث اسفر حصيله اوليه وفاه اشخاص ركاب الحافله وسائق السياره واصابه اخرين بجروح متفاوته الخطوره,"
أعلنت وزارة الداخلية في بلاغ لها ارتفاع حصيلة حادث المرور الذي جد ظهر اليوم بمنطقة سيدي الظاهر بمعتمدية بئر علي بن خليفة من ولاية صفاقس إلى 19 جريحا. وكان الحادث قد أسفر في حصيلة أولية عن وفاة 4 أشخاص (03 من ركاب الحافلة وسائق السيارة) وإصابة 15 آخرين بجروح متفاوتة الخطورة.. وتتمثل صورة الحادث في إصطدام حافلة تابعة للشركة الوطنية للنقل بين المدن كانت متجهة نحو تونس و قادمة من جربة بسيارة خفيفة."
اكد رئيس الزمالك المصري مرتضى منصور سياق حواره التلفزي قناه دريم المصري المدربين المرشحين لتدريب فريقه انه يعرف نبيل معلول معرفه شخصيه اللاعب السابق للنادي وسام العابدي هاتفه ابلغ باستعداد معلول لتدريب الزمالك مرتضى منصور انه اعتذر العابدي وقتها بحكم التزاماته زملاء مجلس النواب المصري يعيد الاتصال بنبيل معلول,و بيّن مرتضى منصور أنه إعتذر من العابدي وقتها بحكم إلتزاماته مع زملاء له من مجلس النواب المصري دون أن يعيد الإتصال به أو بنبيل معلول .
قالت الحكومتان الاسبانيه والمغربيه مهاجر الاقل جنوب الصحراء الافريقيه حاولوا عبور جيب سبته الاسباني بشمال افريقيا المغرب باقتحام سياج حدودي معظمهم ردوا اعقابهم نهايه المطاف واظهرت لقطات بثها تلفزيون فارو المحلي ذكرته رويترز عشرات المهاجرين يتسلقون سياجا الاسلاك الشائكه بارتفاع امتار ويصلون قمته وقت مبكر اليوم الاحد يتم انزالهم بالروافع وقالت اسبانيا مهاجر حاولوا عبور السياج وقالت الحكومه الاسبانيه بيان تم السماح لشخصين فقط بدخول سبته لنقلهما المستشفى تم اعاده الباقين المغرب واضافت الحكومه الاسبانيه رجال الشرطه الاسبانيه المغرب اصيبوا استخدم المهاجرون الحجاره والقضبان الحديديه محاوله لعبور البوابات واقتحام السياج والاشتباك السلطات وذكرت وزاره الداخليه المغربيه مهاجر حاولوا اقتحام الجيب وتم اعتقالهم اصابات خطيره وقالت الوزاره افراد قوات الامن اصيبوا باصابات خطيره واضافت الوزاره بيان انه فصاعدا سيتم تقديم يقومون بمثل المحاولات للسلطات القضائيه المختصه ستحدد امكانيه طردهم المملكه المغربيه توقيع عقوبات اشد عليهم طبقا لخطوره الفعل وغالبا يستخدم المهاجرون الافارقه جيبي سبته ومليليه الاسبانيين الموجودين المغرب كنقاط لدخول اوروبا طريق تسلق الاسيجه الحدوديه السباحه عبر الساحل وكان المغرب اطلق الشهر الماضي حمله لتسويه اوضاع المهاجرين الشرعيين افريقيا جنوب الصحراء اطار سياسه هجره اطلقها المغرب مندمجه متكامله تحافظ حقوق المهاجرين ويقول خبراء المغرب تحول العشر سنوات الماضيه بلد عبور المهاجرين افريقيا جنوب الصحراء بلد استقبال واستقرار وتعرضت اسبانيا انتقادات حاده جماعات حقوق الانسان لسماحها باعاده المهاجرين الحالات المغرب بشكل فوري وفي اوائل تمكن مهاجر افريقيا جنوب الصحراء شق طريقهم عبر السياج ودخول سبته,ويقول خبراء إن المغرب تحول في العشر سنوات الماضية من بلد عبور المهاجرين خاصة من أفريقيا جنوب الصحراء إلى بلد استقبال واستقرار. وأضافت الحكومة الإسبانية أن خمسة من رجال الشرطة الإسبانية و50 من المغرب أصيبوا بعد أن استخدم المهاجرون الحجارة والقضبان الحديدية في محاولة لعبور البوابات واقتحام السياج والاشتباك مع السلطات. وقالت الحكومة الاسبانية في بيان إنه تم السماح لشخصين فقط بدخول سبته لنقلهما إلى المستشفى في حين تم إعادة الباقين إلى المغرب.
اكدت مراسله جوهره اف ام المفاوضات الارهابيين المتحصنين اليوم منزل بمنطقه وادي الليل مازالت متواصله باستعمال مضخمات الصوت لاقناعهم بتسليم انفسهم مشيره قوات الامن تحاصر المكان قامت قليل باطلاق الغاز المسيل للدموع والنار اتجاه المنزل واضافت مراسلتنا نقلا مصادر امنيه المتحصنين بالمنزل الارهابيان ايمن والثاني حسام الطرودي برفقتهما نساء وطفلان,"وأضافت مراسلتنا نقلا عن مصادر أمنية أن المتحصنين بالمنزل هما الإرهابيان ""أيمن"" والثاني ""حسام الطرودي"" برفقتهما 4 نساء وطفلان ."
اجتمع رئيس النجم الرياضي الساحلي السيد رضا شرف الدين اعضاء الهيئه المديره بعدد احباء الفريق للحديث حول جمله المواضيع تهم الفريق تم خلال الجلسه طرح مجموعه التساؤلات الجماهير الحاضره تعهد رئيس النادي بالنظر جمله المواضيع الاجتماع مناسبه لرئيس الفريق لتوضيح عدد النقاط تهم الجمعيه لشرح الاهداف المرسومه مستقبلا داعيا الجميع للالتفاف حول النادي المرحله الهامه مشوار البطوله,"
إجتمع رئيس النجم الرياضي الساحلي السيد رضا شرف الدين و أعضاء الهيئة المديرة بعدد من أحباء الفريق للحديث حول جملة من المواضيع التي تهم الفريق ."
